category,source,question,answer,explanation
민법총칙,2026 법원직 실전판례형,제한능력자가 단독으로 처분할 수 있는 재산으로 허락받은 범위 내의 행위라도 상대방이 제한능력자임을 알지 못하면 취소할 수 있다.,X,허락 범위 내 행위는 유효하며 상대방의 인식 여부와 무관합니다.
민법총칙,2026 법원직 실전판례형,의사표시의 효력 발생 시기는 특별한 규정이 없으면 상대방에게 도달한 때이다.,O,도달주의가 원칙입니다.
민법총칙,2026 법원직 실전판례형,비진의표시는 상대방이 악의인 경우에도 언제나 유효하다.,X,상대방이 진의 아님을 알았거나 알 수 있었으면 무효입니다.
민법총칙,2026 법원직 실전판례형,통정허위표시의 무효는 선의의 제3자에게 대항하지 못한다.,O,민법 제108조 핵심 조문입니다.
민법총칙,2026 법원직 실전판례형,착오에 의한 의사표시는 법률행위 내용의 중요부분에 관한 경우에만 취소할 수 있다.,O,단순 동기의 착오는 원칙적으로 제외됩니다.
민법총칙,2026 법원직 실전판례형,강박에 의한 의사표시는 상대방이 선의이면 취소할 수 없다.,X,강박은 상대방 선의와 관계없이 취소 가능합니다.
민법총칙,2026 법원직 실전판례형,무권대리행위는 본인이 추인하기 전까지는 본인에게 효력이 없다.,O,무권대리 기본 원칙입니다.
민법총칙,2026 법원직 실전판례형,표현대리가 성립하면 본인은 무권대리행위에 대해 책임을 지지 않는다.,X,표현대리는 본인 책임 인정 제도입니다.
민법총칙,2026 법원직 실전판례형,소멸시효는 권리를 행사할 수 없는 동안에도 진행한다.,X,권리행사 가능 시부터 진행합니다.
민법총칙,2026 법원직 실전판례형,시효완성 후 채무자가 채무를 승인하면 시효이익을 포기한 것으로 볼 수 있다.,O,판례상 인정됩니다.

물권법,2026 법원직 실전판례형,부동산 물권변동은 등기 없이도 당사자 합의만으로 효력이 발생한다.,X,등기가 효력요건입니다.
물권법,2026 법원직 실전판례형,상속으로 인한 부동산 물권변동은 등기 없이도 효력이 발생한다.,O,민법 제187조 예외입니다.
물권법,2026 법원직 실전판례형,점유자는 소유의 의사로 선의 평온 공연하게 점유한 것으로 추정된다.,O,점유의 추정력입니다.
물권법,2026 법원직 실전판례형,점유보조자는 독립된 점유권을 가진다.,X,점유보조자는 점유자가 아닙니다.
물권법,2026 법원직 실전판례형,점유취득시효 완성에는 자주점유가 필요하다.,O,타주점유는 제외됩니다.
물권법,2026 법원직 실전판례형,공유자는 다른 공유자의 동의 없이 자신의 지분을 처분할 수 있다.,O,지분 처분 자유 원칙입니다.
물권법,2026 법원직 실전판례형,공유물 보존행위는 공유자 전원의 동의가 필요하다.,X,각 공유자가 단독으로 가능합니다.
물권법,2026 법원직 실전판례형,유치권은 점유를 상실하면 소멸한다.,O,점유가 유치권 성립·존속 요건입니다.
물권법,2026 법원직 실전판례형,저당권은 채무자 아닌 제3자의 물건에도 설정할 수 있다.,O,물상보증 구조입니다.
물권법,2026 법원직 실전판례형,전세권은 반드시 건물에만 설정할 수 있다.,X,토지에도 설정 가능합니다.

채권법,2026 법원직 실전판례형,채무불이행 책임은 원칙적으로 채무자의 귀책사유를 필요로 한다.,O,귀책사유 책임주의입니다.
채권법,2026 법원직 실전판례형,금전채무는 불가항력으로도 이행불능이 될 수 없다.,O,금전채무 특칙입니다.
채권법,2026 법원직 실전판례형,동시이행항변권은 상대방 채무 자체를 소멸시키는 권리이다.,X,이행거절권에 불과합니다.
채권법,2026 법원직 실전판례형,채권양도는 원칙적으로 양도인과 양수인의 합의만으로 효력이 발생한다.,O,대항요건과 구별해야 합니다.
채권법,2026 법원직 실전판례형,지명채권 양도의 대항요건은 확정일자 있는 증서에 의해야만 한다.,X,채무자 대항에는 통지·승낙이면 충분합니다.
채권법,2026 법원직 실전판례형,상계에는 조건이나 기한을 붙일 수 없다.,O,민법상 금지됩니다.
채권법,2026 법원직 실전판례형,계약해제 후에도 손해배상청구는 가능하다.,O,병존 가능합니다.
채권법,2026 법원직 실전판례형,계약금은 특별한 사정이 없으면 위약금으로 추정된다.,X,해약금으로 추정됩니다.
채권법,2026 법원직 실전판례형,연대채무자 1인에 대한 이행청구는 다른 연대채무자에게 효력이 없다.,X,절대적 효력이 인정됩니다.
채권법,2026 법원직 실전판례형,보증채무는 주채무보다 무거울 수 없다.,O,부종성 원칙입니다.

가족법,2026 최신개정 반영 실전형,사실혼 배우자는 원칙적으로 민법상 상속권이 없다.,O,사실혼은 상속권이 인정되지 않습니다.
가족법,2026 최신개정 반영 실전형,배우자가 직계비속과 공동상속하는 경우 배우자 상속분은 직계비속 상속분의 1.5배이다.,O,민법상 가산 규정입니다.
가족법,2026 최신개정 반영 실전형,태아는 상속에 관하여 이미 출생한 것으로 본다.,O,민법상 태아 보호 규정입니다.
가족법,2026 최신개정 반영 실전형,상속포기는 상속개시 전에도 미리 할 수 있다.,X,상속개시 후 가능합니다.
가족법,2026 최신개정 반영 실전형,상속인은 상속개시 있음을 안 날부터 3개월 내 포기 또는 한정승인을 할 수 있다.,O,숙려기간입니다.
가족법,2026 최신개정 반영 실전형,상속포기는 대습상속의 원인이 된다.,X,대습상속 원인이 아닙니다.
가족법,2026 최신개정 반영 실전형,유언은 법률이 정한 방식에 따르지 않으면 무효이다.,O,유언 방식주의입니다.
가족법,2026 최신개정 반영 실전형,현행 민법상 형제자매는 유류분권자에 해당한다.,X,개정으로 삭제되었습니다.
가족법,2026 최신개정 반영 실전형,배우자의 유류분은 법정상속분의 2분의 1이다.,O,현행 민법 기준입니다.
가족법,2026 최신개정 반영 실전형,상속재산분할은 상속개시 시로 소급효가 있으나 제3자 권리를 해하지 못한다.,O,민법 규정입니다.

민법총칙,2026 법원직 함정형,권리남용 금지 원칙은 물권에는 적용되지 않는다.,X,민법 전 영역에 적용됩니다.
민법총칙,2026 법원직 함정형,신의성실의 원칙은 민법의 기본원칙이다.,O,민법 제2조입니다.
물권법,2026 법원직 함정형,선의취득은 점유개정의 방법으로는 인정되지 않는다.,O,현실 인도가 필요합니다.
물권법,2026 법원직 함정형,건물은 토지의 종물이다.,X,독립한 부동산입니다.
물권법,2026 법원직 함정형,혼동은 물권 소멸 원인이 될 수 있다.,O,권리 귀속 동일화입니다.
채권법,2026 법원직 함정형,채권자대위권은 채무자의 일신전속권에도 행사 가능하다.,X,행사할 수 없습니다.
채권법,2026 법원직 함정형,채권자취소권은 채무자의 사해행위를 취소하여 채권자를 보호한다.,O,사해행위취소권입니다.
채권법,2026 법원직 함정형,손해배상 예정액이 과다해도 법원은 감액할 수 없다.,X,민법 제398조에 따라 감액 가능합니다.
가족법,2026 법원직 함정형,협의이혼은 신고만 하면 언제나 성립한다.,X,가정법원 확인 절차가 필요합니다.
가족법,2026 법원직 함정형,친양자는 원칙적으로 친생부모와의 친족관계가 종료된다.,O,친양자 제도의 특징입니다.
민법총칙,2026 판례심화형,무효인 법률행위는 추인하여도 원칙적으로 유효하게 될 수 없다.,O,무효와 취소의 핵심 차이입니다.
물권법,2026 판례심화형,점유회수청구권은 침탈당한 날부터 1년 내 행사해야 한다.,O,제척기간입니다.
채권법,2026 판례심화형,매매는 당사자 일방이 재산권을 이전할 것을 약정하고 상대방이 대금을 지급할 것을 약정함으로써 효력이 생긴다.,O,민법상 매매 정의입니다.
가족법,2026 판례심화형,친권은 원칙적으로 부모가 공동으로 행사한다.,O,공동친권 원칙입니다.
민법총칙,2026 고난도 실전형,표현대리 성립 여부 판단에서 상대방의 선의 무과실이 요구되는 경우가 있다.,O,권한을 넘은 표현대리 등에서 문제됩니다.
물권법,2026 고난도 실전형,부동산 이중매매에서 제2매수인은 특별한 사정이 없는 한 유효하게 소유권을 취득할 수 있다.,O,반사회질서 행위 등 예외 제외입니다.
채권법,2026 고난도 실전형,채무자가 채권자지체 상태에 있는 경우에도 고의 중과실 책임은 부담한다.,O,책임이 완전히 면제되지는 않습니다.
가족법,2026 고난도 실전형,상속인은 상속재산에 관한 포괄적 권리의무를 승계한다.,O,포괄승계 원칙입니다.
민법총칙,2026 법원직 최종실전형,의사표시의 해석은 표시행위의 객관적 의미와 당사자의 진정한 의사를 함께 고려한다.,O,법률행위 해석 원칙입니다.
물권법,2026 법원직 최종실전형,저당권의 효력은 원칙적으로 종물에도 미친다.,O,종물 포함이 원칙입니다.
